Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2022-05-17,66600,67900,66600,67600,66730.65625,15680447,65940.9401,65348.65547
2022-05-18,68300,68700,67600,68100,67224.21875,16486319,66467.41406,65822.48281
2022-05-19,66500,67600,66500,67500,66631.9375,17073727,66862.27083,66335.79531
2022-05-20,67800,68400,67700,68000,67125.50781,12109671,66993.88802,66631.9375
2022-05-23,68800,68800,67600,67900,67026.79688,13684088,66928.08073,66947.82344
2022-05-24,67500,67700,66500,66500,65644.79688,15482576,66599.03385,66730.65156
2022-05-25,66700,67100,65900,66400,65546.08594,15150490,66072.5599,66395.025
2022-05-26,66300,67200,65500,65900,65052.51172,15970890,65414.46484,66079.13984
2022-05-27,66700,66900,66200,66500,65644.79688,11405555,65414.46484,65782.99766
2022-05-30,67500,67800,66900,67700,66829.35938,14255484,65842.22266,65743.51016
2022-05-31,67500,67500,66700,67400,66533.21875,24365002,66335.79167,65921.19453
2022-06-02,66600,67000,66400,66700,65842.22656,14959443,66401.60156,65980.42266
2022-06-03,67200,67300,66800,66800,65940.9375,8222883,66105.46094,66158.10781
2022-06-07,66200,66400,65400,65500,64657.65625,19355755,65480.27344,65960.67969
2022-06-08,65400,65700,65300,65300,64460.22656,12483180,65019.60677,65486.85313
2022-06-09,65100,65200,64500,65200,64361.51563,25790725,64493.13281,65052.5125
2022-06-10,64000,64400,63800,63800,62979.51953,22193552,63933.75391,64479.97109
2022-06-13,62400,62800,62100,62100,61301.38281,22157816,62880.80599,63552.06016
2022-06-14,61200,62200,61100,61900,61103.95313,24606419,61794.95182,62841.31953
2022-06-15,61300,61500,60200,60700,59919.38281,26811224,60774.90625,61933.15078
2022-06-16,61300,61800,60500,60900,60116.8125,23394895,60380.04948,61084.21016
2022-06-17,59400,59900,59400,59800,59030.96094,29053450,59689.05208,60294.49844
2022-06-20,59800,59900,58100,58700,57945.10547,34111306,59030.95964,59623.24297
2022-06-21,58700,59200,58200,58500,57747.67969,25148109,58241.2487,58951.98828
2022-06-22,59000,59100,57600,57600,56859.25391,23334687,57517.34635,58339.9625
2022-06-23,57700,58000,56800,57400,56661.82813,28338608,57089.58724,57648.96563
2022-06-24,57900,59100,57700,58400,57648.96484,23256103,57056.68229,57372.56641
2022-06-27,59000,59900,58300,58800,58043.82031,18122236,57451.53776,57392.30938
2022-06-28,59200,59500,58700,59400,58636.10547,13540538,58109.63021,57569.99453
2022-06-29,58500,58800,58000,58000,57604.19531,14677138,58094.70703,57718.98281
2022-06-30,57200,57600,57000,57000,56611.01953,18915142,57617.10677,57708.82109
2022-07-01,56900,57500,55900,56200,55816.48047,24982097,56677.23177,57342.32422
2022-07-04,56100,57400,55700,57100,56710.33984,17807126,56379.27995,57075.62813
2022-07-05,57600,58200,57200,57200,56809.65625,14216539,56445.49219,56710.33828
2022-07-06,57300,57300,56400,56400,56015.11719,16820461,56511.70443,56392.52266
2022-07-07,56400,58700,56300,58200,57802.83203,21322833,56875.86849,56630.88516
2022-07-08,58600,59300,58200,58700,58299.41797,15339271,57372.45573,57127.47266
2022-07-11,59300,59600,58700,58800,58398.73828,13042624,58166.99609,57465.15234
2022-07-12,58600,58700,58100,58100,57703.51563,9336061,58133.89063,57643.92422
2022-07-13,58300,58600,58000,58000,57604.19531,10841315,57902.14974,57961.73984
2022-07-14,57500,58200,57400,57500,57107.60938,15067012,57471.77344,57822.69531
2022-07-15,58400,60000,58100,60000,59590.54688,18685583,58100.78385,58080.92109
2022-07-18,60600,62000,60500,61900,61477.58203,20832517,59391.91276,58696.68984
2022-07-19,61400,61500,60200,60900,60484.40625,15248261,60517.51172,59252.86797
2022-07-20,61800,62100,60500,60500,60087.13672,16782238,60683.04167,59749.45625
2022-07-21,61100,61900,60700,61800,61378.26563,12291374,60649.9362,60603.5875
2022-07-22,61800,62200,61200,61300,60881.67578,10261310,60782.35938,60861.81328
2022-07-25,60900,61900,60800,61100,60683.04297,9193681,60980.99479,60702.90547
2022-07-26,60800,61900,60800,61700,61278.94531,6597211,60947.88802,60861.81328
2022-07-27,61300,61900,61200,61800,61378.26563,7320997,61113.41797,61120.03906
2022-07-28,62300,62600,61600,61900,61477.58203,10745302,61378.26432,61139.90234
2022-07-29,62400,62600,61300,61400,60980.99609,15093120,61278.94792,61159.76641
2022-08-01,61000,61700,60300,61300,60881.67578,13154816,61113.41797,61199.49297
2022-08-02,61200,61900,61000,61700,61278.94531,13614895,61047.20573,61199.49297
2022-08-03,61600,61600,61000,61300,60881.67578,10053861,61014.09896,61100.175
2022-08-04,61700,61800,61200,61500,61080.3125,9125439,61080.3112,61020.72109
2022-08-05,61700,61900,61200,61500,61080.3125,9567620,61014.10026,61040.58438
2022-08-08,61400,61400,60600,60800,60385.08984,11313150,60848.57161,60941.26719
2022-08-09,60600,60700,59600,60000,59590.54688,18251170,60351.98307,60603.5875
2022-08-10,58900,59200,58600,59100,58696.69141,18084349,59557.44271,60166.59063
2022-08-11,59600,60000,59300,59900,59491.23047,15141941,59259.48958,59848.77422
2022-08-12,59500,60700,59400,60200,59789.18359,10786658,59325.70182,59590.54844
2022-08-16,60500,61600,60300,61000,60583.72266,15036727,59954.71224,59630.275
2022-08-17,61100,61200,60300,60400,59987.82031,9061518,60120.24219,59709.72969
2022-08-18,60300,61900,60000,61500,61080.3125,16372754,60550.61849,60186.45391
2022-08-19,61400,61600,60600,60900,60484.40625,6923679,60517.51302,60385.08906
2022-08-22,60300,60400,59800,60000,59590.54688,8259865,60385.08854,60345.36172
2022-08-23,59000,59600,59000,59100,58696.69141,9041629,59590.54818,59967.95547
2022-08-24,59200,59500,59000,59000,58597.37109,8888486,58961.53646,59689.86563
2022-08-25,59200,59700,59000,59700,59292.59375,5767902,58862.21875,59332.32188
2022-08-26,60300,60900,59900,60000,59590.54688,9499995,59160.17057,59153.55
2022-08-29,58700,58900,58600,58600,58200.10156,9841329,59027.7474,58875.46094
2022-08-30,58700,59000,58300,58800,58398.73828,9690044,58729.79557,58815.87031
2022-08-31,58200,59900,58200,59700,59292.59375,14203512,58630.47786,58954.91484
2022-09-01,58700,58900,58300,58400,58001.46875,14905777,58564.26693,58696.68984
2022-09-02,58300,58600,57500,57500,57107.60938,15040310,58133.89063,58200.10234
2022-09-05,57400,57800,56800,57100,56710.33984,11425977,57273.13932,57902.15
2022-09-06,57200,57600,56900,57100,56710.33984,7503086,56842.76302,57564.47031
2022-09-07,56700,56700,55900,56000,55617.84375,17384854,56346.17448,56829.52031
2022-09-08,56200,56400,55600,55600,55220.57422,18000016,55849.58594,56273.34141
2022-09-13,57000,58500,56800,58100,57703.51563,17166581,56180.64453,56392.52266
2022-09-14,56200,57200,56100,56800,56412.38672,12524961,56445.49219,56332.93203
2022-09-15,57000,57100,56000,56000,55617.84375,11664819,56577.91536,56114.43281
2022-09-16,55600,56400,55500,56200,55816.48047,13456503,55948.90365,56154.16016
2022-09-19,56300,57000,56000,56400,56015.11719,12278653,55816.48047,56313.06875
2022-09-20,56400,57000,55800,55800,55419.21094,14041465,55750.26953,55856.20781
2022-09-21,55400,55500,55000,55300,54922.62109,11863700,55452.31641,55558.25469
2022-09-22,54600,54700,54300,54400,54028.76563,12786510,54790.19922,55240.43906
2022-09-23,54400,54900,54200,54500,54128.08203,10555964,54359.82292,54902.75938
2022-09-26,53700,54200,53600,53900,53532.17578,15008449,53896.34115,54406.17109
2022-09-27,53800,54200,53500,54200,53830.12891,16631289,53830.12891,54088.35469
2022-09-28,53900,54400,52500,52900,52539,19991129,53300.4349,53611.63047
2022-09-29,53300,53700,52600,52600,52600,13882080,52989.70964,53325.87734
2022-09-30,52300,53600,51800,53100,53100,22503249,52746.33333,53120.26094
2022-10-04,55300,55400,54500,55200,55200,19148435,53633.33333,53453.82578
2022-10-05,56900,57200,55400,56000,56000,22458970,54766.66667,53887.8
2022-10-06,56700,57300,56300,56300,56300,14944446,55833.33333,54640
2022-10-07,55900,56900,55200,56200,56200,16886813,56166.66667,55360
2022-10-11,54400,55700,54000,55400,55400,21437877,55966.66667,55820
2022-10-12,55700,57000,55200,55800,55800,18408910,55800,55940
2022-10-13,55400,56100,55200,55200,55200,13784602,55466.66667,55780
2022-10-14,56200,56500,55800,56300,56300,12924326,55766.66667,55780
2022-10-17,55800,57000,55700,56600,56600,13641878,56033.33333,55860
2022-10-18,56700,57100,55800,56500,56500,14820702,56466.66667,56080
2022-10-19,56700,56900,55700,55800,55800,12660652,56300,56080
2022-10-20,55200,56000,55100,55500,55500,17107653,55933.33333,56140
2022-10-21,55100,56300,55100,55900,55900,11456060,55733.33333,56060
2022-10-24,57000,57500,56700,57500,57500,16944503,56300,56240
2022-10-25,57000,58600,57000,57700,57700,17405678,57033.33333,56480
2022-10-26,58000,59600,57700,59400,59400,20824967,58200,57200
2022-10-27,59700,60100,58900,59500,59500,21756712,58866.66667,58000
2022-10-28,58900,59200,57200,57300,57300,20924937,58733.33333,58280
2022-10-31,58100,59900,58000,59400,59400,18999514,58733.33333,58660
2022-11-01,59900,60300,59500,60000,60000,17201647,58900,59120
2022-11-02,59700,60000,59300,59600,59600,13202919,59666.66667,59160
2022-11-03,58600,59800,58100,59200,59200,17492162,59600,59100
2022-11-04,59100,59500,58400,59400,59400,12445841,59400,59520
2022-11-07,59700,60300,59400,60200,60200,12437246,59600,59680
2022-11-08,60500,61900,60500,61800,61800,18273898,60466.66667,60040
2022-11-09,62000,62200,61300,62000,62000,14045592,61333.33333,60520
2022-11-10,61400,61500,60800,60800,60800,8317453,61533.33333,60840
